city	state	avg_daylight_hours	apparition_type	event_type	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description
Hayward	california	11.53	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Hemet	california	11.53	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Imperial	california	11.53	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Tucson	arizona	11.58	Ghost Light	Death	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Tucson	arizona	11.58	Mist	Death	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Tucson	arizona	11.58	Ghost	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Tucson	arizona	11.58	Ghost	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Yuma	arizona	11.58	Ghost	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Aberdeen	maryland	11.47	Shadow Figure	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Montgomery County	maryland	11.47	Ghost Light	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
New Market	maryland	11.47	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Quawpaw	oklahoma	11.55	Ghost Light	Murder	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Gorham	maine	11.35	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Good Air Quality
Houma	louisiana	11.63	Mist	Supernatural Phenomenon	Good Air Quality	Good Air Quality	Moderate Air Pollution
Camp Hill	alabama	11.62	Ghost Light	Death	Good Air Quality	Good Air Quality	Moderate Air Pollution
Huntsville	alabama	11.62	Ghost Light	Death	Good Air Quality	Good Air Quality	Moderate Air Pollution
Mobile	alabama	11.62	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Montevallo	alabama	11.62	Full-Bodied Apparition	War	Good Air Quality	Good Air Quality	Moderate Air Pollution
Tallapoosa	alabama	11.62	Ghost	Supernatural Phenomenon	Good Air Quality	Good Air Quality	Moderate Air Pollution
Akron	ohio	13.17	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Cambridge	ohio	13.13	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Cincinnati	ohio	13.15	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Geauga	ohio	13.72	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Ironton	ohio	13.7	Ghost	Natural Disaster	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Oak Hill	ohio	12.9	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Painesville	ohio	12.82	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Shunk	ohio	12.88	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Sterling	ohio	13.0	Full-Bodied Apparition	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Summit	ohio	13.0	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
